event_id,event_name,location_id,date,latitude,longitude,state,district,basin,source_citation,label_source,label_confidence,hazard_type,rainfall_15m_mm,rainfall_30m_mm,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_peak_intensity_mmph,soil_moisture_pct,soil_saturation_index,antecedent_7d_mm,elevation_m,slope_degrees,twi,factor_of_safety_fos,landslide_susceptibility_index,historical_landslides_count,river_level_m,river_rate_of_rise_mph,warning_level_diff_m,danger_level_diff_m,upstream_blockage_index,geophone_debris_vibration_db,culvert_backpressure_ratio,ndvi,surface_water_index,target_label
REAL-EVT-2013-UK-001,2013 Kedarnath Chorabari Lake Breach & Surge,UK_KEDARNATH,2013-06-16,30.7346,79.0669,Uttarakhand,Rudraprayag,Mandakini Basin,NASA COOLR ID: 5892; IMD Gridded Rainfall (Dehradun Met); NDMA Post-Disaster Report,NASA_COOLR / NDMA / IMD,CORROBORATED,Glacial Lake Outburst / Debris Surge,nan,nan,nan,nan,nan,nan,220.0,375.0,nan,51.0,0.98,410.0,3583.0,34.5,2.86,0.9,0.92,48.0,6.8,0.95,2.2,1.4,0.65,38.0,0.75,0.22,-0.08,1
REAL-EVT-2021-UK-002,2021 Chamoli Ronti Peak Rock-Ice Surge,UK_CHAMOLI,2021-02-07,30.485,79.692,Uttarakhand,Chamoli,Rishiganga-Alaknanda Basin,NIDM / CWC Joshimath Gauge / Planet Labs / Shugar et al. Science 2021,NIDM_CWC_SCIENCE_PUBLICATION,CORROBORATED,Rock-Ice Avalanche Debris Flow,nan,nan,nan,nan,nan,nan,0.0,2.5,nan,21.8,0.42,4.0,2040.0,36.0,2.804,1.116,0.95,32.0,7.4,1.65,3.1,2.2,0.65,38.0,0.75,0.22,-0.08,1
REAL-EVT-2023-HP-003,2023 Beas River Extreme Surge & Bank Erosion,HP_KULLU,2023-07-09,31.9579,77.1095,Himachal Pradesh,Kullu,Upper Beas Basin,IMD AWS Kullu 265mm/48h; CWC Thalout River Gauge; SDMA HP,IMD_CWC_SDMA,CORROBORATED,Flash Flood / Riverine Surge,nan,nan,nan,nan,nan,nan,195.0,312.0,nan,47.8,0.92,340.0,1220.0,28.5,3.096,1.106,0.88,52.0,6.2,0.78,1.9,1.1,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2023-SK-004,2023 South Lhonak Lake GLOF & Chungthang Dam Breach,SK_TEESTA,2023-10-04,27.6044,88.6465,Sikkim,Mangan,Teesta Basin,NRSC Bhuvan Lake Area Breach Analysis; CWC Singtam Gauge; ISRO,NRSC_ISRO_CWC,CORROBORATED,Glacial Lake Outburst Surge,nan,nan,nan,nan,nan,nan,85.0,140.0,nan,44.7,0.86,160.0,1580.0,33.0,2.917,0.996,0.94,39.0,8.1,2.1,3.8,2.9,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2024-KL-005,2024 Meppadi Chooralmala Mundakkai Debris Flow,KL_WAYANAD,2024-07-30,11.535,76.141,Kerala,Wayanad,Chaliyar / Kabini Basin,GSI Bhukosh Rapid Assessment; IMD Mundakkai Gauge 572mm/48h; Kerala SDMA,GSI_BHUKOSH_IMD_KSDMA,CORROBORATED,Multi-Pulse Debris Avalanche,nan,nan,nan,nan,nan,nan,372.0,572.0,nan,51.5,0.99,640.0,890.0,35.5,2.823,0.874,0.96,64.0,5.9,1.25,2.4,1.6,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2020-KL-006,2020 Pettimudi Rajamala Debris Flow,KL_IDUKKI,2020-08-07,10.1654,77.0215,Kerala,Idukki,Periyar Catchment,NASA COOLR ID: 12844; GSI Landslide Inventory; IMD Peerumedu,NASA_COOLR / GSI,CORROBORATED,Debris Avalanche,nan,nan,nan,nan,nan,nan,310.0,480.0,nan,50.4,0.97,520.0,1640.0,37.0,2.768,0.852,0.94,45.0,4.8,0.7,1.5,0.8,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2021-UK-007,2021 Nainital Ramgarh Post-Monsoon Surge,UK_NAINITAL,2021-10-18,29.3919,79.4542,Uttarakhand,Nainital,Gaula-Kosi Basin,IMD Mukteshwar Record 500mm/24h; GSI Post-Event Survey,IMD_GSI_SURVEY,CORROBORATED,Cloudburst & Slope Failure,nan,nan,nan,nan,nan,nan,410.0,520.0,nan,49.9,0.96,530.0,2084.0,32.0,2.955,0.973,0.91,38.0,5.4,0.85,1.8,1.0,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2022-MN-008,2022 Noney Tupul Railway Camp Debris Flow,MA_NONEY,2022-06-30,24.7812,93.6558,Manipur,Noney,Ijei River Basin,NASA COOLR ID: 14120; GSI Technical Report; Army EOC,NASA_COOLR / GSI,CORROBORATED,Mudslide / Debris Flow Damming,nan,nan,nan,nan,nan,nan,210.0,340.0,nan,49.4,0.95,390.0,620.0,38.0,2.732,0.841,0.95,27.0,5.8,0.9,2.0,1.2,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2023-HP-009,2023 Shimla Summer Hill Shiv Bawdi Debris Flow,HP_SHIMLA,2023-08-14,31.1048,77.1734,Himachal Pradesh,Shimla,Sutlej-Pabar Catchment,IMD Shimla AWS 220mm/24h; GSI Rapid Appraisal 2023,IMD_GSI,CORROBORATED,Colluvial Debris Flow,nan,nan,nan,nan,nan,nan,220.0,345.0,nan,49.9,0.96,410.0,2130.0,34.0,2.879,0.921,0.9,35.0,4.6,0.6,1.2,0.5,0.65,38.0,0.75,0.22,-0.08,1
REAL-EVT-2012-UK-010,2012 Uttarkashi Asi Ganga Cloudburst Surge,UK_UTTARKASHI,2012-08-03,30.7268,78.4354,Uttarakhand,Uttarkashi,Bhagirathi-Asi Ganga,DMMC Uttarakhand; IMD Gridded Rainfall; CWC Tehri Upstream,DMMC_IMD_CWC,CORROBORATED,Cloudburst Surge,nan,nan,nan,nan,nan,nan,185.0,270.0,nan,46.8,0.9,310.0,1358.0,31.0,2.994,1.034,0.89,42.0,5.8,0.82,1.7,0.9,0.65,38.0,0.75,0.72,-0.08,1
